LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
Life and earth sciences,citances,75,n_citances,0.02156311,0.013985313,0.008679447,0.00516508,0.003590039,0.002896668,0.002541184,0.002650293,0.002845634,0.003106087,0.003521406,0.00417606,0.005092927,0.006451511,0.007491566,0.0081515,0.008734001,0.008260609,0.006722523,0.002233215
Mathematics and computer science,citances,75,n_citances,0.003192328,0.00262724,0.001986244,0.001568753,0.001260906,0.000999448,0.000847633,0.000725337,0.000683167,0.00047653,0.00054822,0.00054822,0.000468096,0.000645213,0.000691601,0.000763291,0.000940408,0.001016316,0.000881369,0.000628345
Physical sciences and engineering,citances,75,n_citances,0.005508554,0.005045139,0.003344554,0.001945223,0.001288894,0.000984844,0.000992532,0.001105066,0.001235074,0.001328036,0.001367877,0.001534231,0.001588751,0.001706876,0.001829894,0.001941729,0.002017916,0.001892102,0.001483207,0.000619284
Social sciences and humanities,citances,75,n_citances,0.041496279,0.027518938,0.023329088,0.019335562,0.015452169,0.012282247,0.010697287,0.008714889,0.007991841,0.007268792,0.006890508,0.00688572,0.007350195,0.008710101,0.010342945,0.012655743,0.014164089,0.013962976,0.012775453,0.007776363
All,citances,75,perc_citances1,0.143828711,0.110832027,0.068792628,0.043014575,0.030956974,0.025857698,0.024066638,0.023728629,0.024556169,0.025871296,0.029263043,0.034595428,0.042192863,0.051925195,0.059792649,0.064336346,0.065950631,0.062053813,0.049691227,0.018693459
Biomedical and health sciences,citances,75,perc_citances1,0.136640973,0.112140549,0.061185624,0.032907919,0.022654656,0.020082315,0.019612975,0.019802516,0.021120277,0.023498565,0.028295756,0.035931549,0.047015181,0.059890427,0.070066971,0.07418723,0.07465657,0.068830442,0.054113941,0.017365561
Life and earth sciences,citances,75,perc_citances1,0.168648664,0.109381452,0.067883393,0.04039695,0.028078289,0.022655325,0.019875024,0.020728384,0.022256173,0.024293225,0.027541498,0.032661657,0.039832631,0.050458337,0.058592782,0.063754232,0.068310072,0.064607592,0.052577972,0.017466347
Mathematics and computer science,citances,75,perc_citances1,0.148489604,0.122204786,0.092389172,0.072969792,0.058650451,0.046488819,0.039427226,0.033738721,0.031777168,0.022165555,0.025500196,0.025500196,0.021773244,0.030011769,0.032169478,0.035504119,0.043742644,0.047273441,0.040996469,0.029227148
Physical sciences and engineering,citances,75,perc_citances1,0.142120354,0.130164283,0.08628929,0.050186645,0.033253386,0.025408905,0.025607271,0.028510631,0.031864822,0.03426325,0.035291147,0.03958307,0.040989667,0.044037293,0.047211152,0.050096478,0.052062107,0.048816115,0.03826664,0.015977494
Social sciences and humanities,citances,75,perc_citances1,0.150566405,0.09985058,0.084647995,0.070157759,0.056067135,0.044565293,0.038814372,0.031621377,0.028997846,0.026374314,0.025001737,0.024984363,0.026669678,0.031604003,0.037528668,0.045920495,0.051393426,0.050663701,0.046354854,0.028215998
